ID,pH Tanah,N Total (%),P Tersedia (ppm),K Tersedia (meq/100g),C Organik (%),KTK (meq/100g),Kejenuhan Basa (%),Tekstur Tanah,Kadar Air (%),Bulk Density (g/cm³),Label
579,8.08,0.013,,0.121,1.18,18.79,25.29,Pasir,66.59,1.867,Tidak Subur
580,8.55,0.19,1.32,0.075,1.65,12.45,57.39,,56.94,1.874,Tidak Subur
581,4.06,,3.76,0.072,1.76,15.3,14.03,Pasir,13.49,1.476,Tidak Subur
582,7.65,0.025,,0.242,1.35,16.2,49.84,Pasir,,1.581,Tidak Subur
583,4.37,0.029,2.95,0.25,0.83,11.68,58.44,Liat,7.78,1.521,Tidak Subur
584,6.12,,54.34,0.628,4.82,35.38,80.97,Lempung Berpasir,30.41,1.005,Subur
585,6.37,0.454,30.1,0.314,2.88,30.16,98.15,Lempung,34.01,1.045,Subur
586,7.34,0.348,42.26,0.703,,42.39,95.54,Lempung,,1.022,Subur
587,4.85,0.168,8.97,0.094,0.43,5.81,19.16,Liat,16.69,1.444,Tidak Subur
588,8.55,0.165,12.92,0.214,1.13,7.01,25.96,,68.83,1.473,Tidak Subur
589,6.41,0.446,30.54,0.532,4.35,42.35,92.35,Lempung,35.17,1.005,Subur
590,7.46,0.325,28.56,0.421,3.09,34.58,64.85,Lempung Berliat,32.19,1.021,Subur
591,7.79,0.078,,0.26,1.36,11.42,11.68,Liat,74.52,1.821,Tidak Subur
592,7.14,0.254,49.79,0.305,3.26,24.22,63.94,Lempung,41.12,0.956,Subur
593,8.05,0.173,10.82,,0.79,6.99,33.48,Liat,73.84,1.811,Tidak Subur
594,5.14,0.141,7.36,0.154,0.45,16.81,35.3,Liat,13.02,1.673,Tidak Subur
595,7.72,0.175,11.39,0.103,1.52,11.11,38.83,Pasir,68.02,1.689,Tidak Subur
596,6.08,0.457,37.24,0.694,4.19,35.59,85,Lempung,31.42,1.023,Subur
597,8.65,0.125,8.97,0.243,0.64,9.88,56.39,Debu,62.24,,Tidak Subur
598,8.16,0.139,13.65,,1.71,15.64,17.97,,63.59,1.786,Tidak Subur
599,6.03,0.237,55.59,0.313,2.77,37.94,61.58,Lempung,36.89,0.928,Subur
600,6.98,0.438,28.35,0.342,4.55,20.49,86.92,Lempung Berliat,42.27,0.904,Subur
601,7.37,0.247,59.7,0.766,3.13,42.16,74.67,Lempung Berpasir,35.06,1.167,Subur
602,7.42,0.238,43.82,0.486,2.94,23.21,88.27,Lempung,26.4,,Subur
603,6.04,0.329,28.48,0.544,4.04,38.4,62.12,Lempung Berpasir,36.87,1.051,Subur
604,4.6,0.107,13.59,,1.86,11.41,37.2,Liat,15.75,,Tidak Subur
605,5.17,0.156,11.07,0.112,1.82,17.42,27.7,Liat,5.18,1.429,Tidak Subur
606,5.26,0.038,11.27,0.097,0.92,12.9,10.79,Liat,16.68,1.692,Tidak Subur
607,4.67,0.072,9.17,0.192,0.36,12.41,39.48,Liat,15.98,1.628,Tidak Subur
608,5.12,0.053,,,0.45,12.2,17.68,Debu,19.65,1.481,Tidak Subur
609,6.7,0.235,,0.494,,44.59,94.71,Lempung Berpasir,33.83,1.083,Subur
610,8.17,0.082,11.67,0.054,,8.7,20.54,Pasir,61.5,1.899,Tidak Subur
611,4.97,0.188,6.68,0.058,1.6,14.39,58.84,Debu,11.38,1.434,Tidak Subur
612,6.29,0.235,27.79,0.486,3.22,36.56,96.83,Lempung Berliat,35.41,0.973,Subur
613,7.48,0.373,18.53,0.611,,26.21,77.08,Lempung Berpasir,28.43,0.968,Subur
614,4.5,0.025,10.91,0.094,1.51,16.44,51.05,Pasir,17.09,,Tidak Subur
615,8.66,,11.54,0.158,0.9,6.35,13.73,Pasir,64.62,1.466,Tidak Subur
616,8.85,0.018,,0.091,0.51,10.55,23.27,Liat,68.37,1.852,Tidak Subur
617,5.25,0.119,,0.153,0.24,12.49,15.37,Liat,13.21,1.754,Tidak Subur
618,4.47,0.161,8.99,0.061,0.37,7.62,17.45,Liat,7.89,1.581,Tidak Subur
619,7.4,,49.08,0.516,,28.56,89.58,Lempung Berpasir,33.3,1.122,Subur
620,6.63,0.426,38.51,0.722,,22.48,70.5,Lempung,37.13,1.175,Subur
621,8,0.051,,0.126,1.68,9.49,29.36,Pasir,70.96,,Tidak Subur
622,3.8,0.181,1.89,0.171,1.58,11.84,58.76,Pasir,5.66,1.614,Tidak Subur
623,7.32,0.348,25.89,0.517,2.29,21.68,69.29,Lempung,27.54,1.128,Subur
624,7.04,0.367,17.82,0.785,3.13,31.48,72.33,Lempung,42.55,1.121,Subur
625,8.79,0.192,1.97,0.095,0.6,18.51,36.87,Pasir,72.97,1.445,Tidak Subur
626,7.67,0.164,6.01,0.147,0.97,8.74,54.24,Liat,57.78,1.564,Tidak Subur
627,4.64,0.189,,0.251,1.34,8.02,22.01,Pasir,13.96,1.838,Tidak Subur
628,5.18,0.107,13.48,0.186,1.61,5.95,12.19,,14.96,1.778,Tidak Subur
629,6.28,0.231,,0.741,4.39,26.87,68.71,Lempung Berpasir,43.77,0.954,Subur
630,4.55,0.125,6.61,,0.45,15.96,53.31,Pasir,8.56,1.638,Tidak Subur
631,6.97,0.496,37.78,0.543,3.01,28.32,74.58,Lempung,33.45,1.062,Subur
632,8.42,0.182,,0.218,,15.11,49.51,Liat,70.52,1.479,Tidak Subur
633,7.41,0.29,39.03,0.711,3.71,41.33,97.8,Lempung,26.03,1.156,Subur
634,4,0.132,2.44,0.104,1.61,15.72,29.5,Liat,12.59,1.65,Tidak Subur
635,6.42,0.461,55.15,0.41,2.17,37.29,85.77,Lempung Berpasir,39.05,0.906,Subur
636,7.28,0.384,19.99,0.369,2.06,29.63,80.87,Lempung,26.82,1.184,Subur
637,8.65,0.014,3.32,0.112,0.9,17.95,24.56,Pasir,,1.673,Tidak Subur
638,7.77,0.047,4.87,0.125,1.05,13.52,54.39,Pasir,60.04,1.849,Tidak Subur
639,6.01,0.289,28.15,,2.26,41.74,76.09,Lempung,31.11,1.138,Subur
640,3.75,0.018,10.82,0.196,1.58,8.24,12,Liat,12.87,1.622,Tidak Subur
641,7.77,,11.12,0.065,1.43,12.38,10.01,Liat,70.6,1.576,Tidak Subur
642,6.07,0.349,,0.338,4.67,33.95,93.87,Lempung Berliat,34.61,0.966,Subur
643,7.34,0.311,,0.376,2.94,34.56,65.54,Lempung Berpasir,29.43,1.109,Subur
644,8.33,0.171,,0.189,1.51,16.08,47.54,Pasir,57.82,1.497,Tidak Subur
645,8.45,0.154,3.83,0.148,1.63,11.92,23.95,Liat,63.58,,Tidak Subur
646,8.85,0.118,11.3,0.112,0.96,14.98,26.27,,60.24,1.788,Tidak Subur
647,6.82,0.393,36.87,0.432,,37.37,78.79,Lempung Berliat,34.07,0.958,Subur
648,6.24,0.326,19.92,0.611,2.86,24.54,92.31,Lempung Berliat,39.67,1.039,Subur
649,3.74,0.111,8.98,0.062,1,7.23,50.88,Debu,11.59,1.792,Tidak Subur
650,3.97,0.049,6.9,,0.83,5.5,43.3,Liat,19.59,1.416,Tidak Subur
651,8.33,0.089,10.6,0.29,0.4,6.52,23.31,Debu,69.53,1.726,Tidak Subur
652,4.68,,7.38,0.125,0.34,17.05,16.42,Pasir,14.2,1.836,Tidak Subur
653,3.96,0.126,,0.061,1.68,16.91,37.33,Liat,18.46,,Tidak Subur
654,3.64,0.013,5.26,0.075,,7.68,34.83,,10.48,1.814,Tidak Subur
655,8.8,,1.98,0.16,1.02,6.6,41.95,Debu,69.76,1.56,Tidak Subur
656,7.34,0.287,,0.424,2.43,38.94,70.6,Lempung Berpasir,28.43,1.181,Subur
657,3.54,0.172,13.61,0.166,1.89,8.8,12.25,Debu,8.17,1.706,Tidak Subur
658,8.27,0.017,2.43,0.137,0.88,13,14.55,Liat,65.54,1.646,Tidak Subur
659,7.45,0.312,28.47,0.434,4.67,36.16,91.7,Lempung Berpasir,28.14,1.182,Subur
660,7.3,0.215,37.97,0.708,,37.69,91.96,Lempung,38.76,1.109,Subur
661,6.93,0.236,17.93,0.741,2.7,22.65,98.62,Lempung Berpasir,27.84,1.041,Subur
662,6.65,0.419,44.84,0.498,,22.11,66.91,Lempung,34.66,1.182,Subur
663,3.69,0.086,3.27,0.149,1.84,7.7,58.68,Liat,9.95,1.61,Tidak Subur
664,6.18,0.257,,,,25.61,84.02,Lempung,35.3,0.904,Subur
665,4.78,0.013,5.02,0.111,0.37,10.13,52.91,Pasir,15.66,1.401,Tidak Subur
666,8.72,0.072,9.88,,1.82,8.25,36.69,Liat,64.35,1.818,Tidak Subur
667,6.47,0.484,,0.651,2.66,24.87,69.74,Lempung Berpasir,38.66,0.999,Subur
668,8.46,0.127,,0.263,1.5,13.21,26.74,Pasir,,1.669,Tidak Subur
669,6.37,0.354,,0.636,4.44,32.76,62.11,Lempung Berpasir,34.29,1.143,Subur
670,6.09,0.411,35.24,0.753,3.08,39.42,80.73,Lempung Berpasir,40.13,0.99,Subur
671,7.35,0.35,,0.406,2.16,37.29,99.78,Lempung Berpasir,35.09,,Subur
672,8.42,0.139,,0.102,,5.88,57.22,Liat,64.8,1.622,Tidak Subur
673,6.83,0.34,25.09,0.783,2.5,32.93,71.67,Lempung,26.68,1.035,Subur
674,6.61,0.454,33.88,0.714,2.71,40.75,73.61,Lempung Berliat,25.09,0.963,Subur
675,6.84,0.389,58.49,0.637,,25.97,99.87,Lempung,27.3,1.088,Subur
676,6.68,0.279,27.86,0.342,2.78,23.91,84.15,Lempung,,1.05,Subur
677,3.98,0.125,11.79,0.217,0.34,13.48,28.25,Liat,10.95,1.57,Tidak Subur
678,6.81,0.312,29.91,0.702,,21.25,77.28,Lempung,25.36,1.146,Subur
679,7.31,0.305,31.62,0.382,4.42,37.01,95.3,Lempung Berliat,29.92,1.053,Subur
680,7.9,0.122,12.81,0.141,0.97,9.64,10.37,Liat,68.04,1.848,Tidak Subur
681,4.64,0.076,4.66,0.245,1.84,5.06,31.17,Liat,10.01,1.787,Tidak Subur
682,4.99,0.099,1.37,0.277,1.32,14.94,48.48,Liat,15.82,1.545,Tidak Subur
683,7.48,0.241,51.32,,3.27,26.64,92.72,Lempung,35.09,0.952,Subur
684,8.12,0.047,11.55,0.288,1.19,11.71,11.58,Pasir,55.61,1.463,Tidak Subur
685,8.22,0.104,4.37,,,6.67,12.72,Pasir,71.94,1.633,Tidak Subur
686,7.89,0.075,8.48,0.264,1.32,17.37,37.77,Liat,74.51,1.743,Tidak Subur
687,8.26,,8.25,0.275,1.88,7.82,47.93,Debu,60.59,1.747,Tidak Subur
688,8.39,0.123,4.32,0.25,1.67,12.49,40.05,Debu,60.86,1.541,Tidak Subur
689,3.79,0.122,1.93,0.133,0.25,8.51,53.9,Liat,5.76,1.536,Tidak Subur
690,8.91,,6.13,0.158,0.57,5.36,11.49,Pasir,,1.549,Tidak Subur
691,6.92,0.439,15.07,0.559,4.95,23.86,76.35,Lempung Berpasir,43.06,0.962,Subur
692,6.56,0.405,49.29,0.406,2.67,23.34,88.91,Lempung,38.08,0.971,Subur
693,7.2,0.438,39.6,0.629,,20.7,77.19,Lempung,43.95,1.138,Subur
694,4.29,0.116,8.36,0.283,0.68,6.89,52.68,Pasir,8.6,1.848,Tidak Subur
695,4.79,0.022,,0.152,1.39,17.12,52.14,Pasir,10.52,1.503,Tidak Subur
696,8.94,0.082,3.8,0.254,0.51,5.36,35.22,Liat,66.02,1.694,Tidak Subur
697,6.58,0.241,43.93,0.741,4.44,22.17,66.83,Lempung Berpasir,39.61,1.139,Subur
698,5.32,0.054,2.82,0.187,1.27,5.71,56.98,Liat,16.7,1.598,Tidak Subur
699,6.1,0.337,49.66,0.774,3.25,42.88,78.37,Lempung,,1.004,Subur
700,7.09,0.388,19.75,0.504,2.39,39.22,90.38,Lempung Berpasir,44.01,1.02,Subur
701,8.44,0.01,7.35,0.075,0.99,7.53,38.96,Liat,61.64,1.486,Tidak Subur
702,8.9,0.062,3.81,0.153,0.95,14.51,56.03,Liat,,1.482,Tidak Subur
703,6.7,0.406,43.18,0.645,2.42,29.77,76.23,Lempung,32.64,1.161,Subur
704,8.79,0.041,5.88,0.058,1.27,8.61,15.23,Pasir,,1.866,Tidak Subur
705,6.9,0.499,53.25,0.628,4.34,30.91,93.93,Lempung,41.03,1.073,Subur
706,7.64,0.178,1.22,0.208,1.73,14.64,44.98,Pasir,62.45,1.617,Tidak Subur
707,6.49,0.391,43.99,0.533,2.4,28.74,95.79,Lempung,30.3,0.94,Subur
708,6.6,0.327,17.61,0.49,4.88,24.16,70.13,Lempung Berliat,39.2,0.921,Subur
709,6.85,0.254,39.33,,3.84,31.86,88.29,Lempung,28.85,1.077,Subur
710,7.21,0.366,55.23,0.346,2.27,37.52,81.79,Lempung,,1.038,Subur
711,6.16,0.343,46.72,0.412,3.99,44.01,97.39,Lempung Berpasir,37.75,0.994,Subur
712,3.87,0.061,8.15,0.076,0.2,16.62,14.1,Liat,16.77,1.487,Tidak Subur
713,6.67,0.292,54.21,0.381,3.79,23.73,84.86,Lempung,,0.965,Subur
714,6.97,0.394,25.22,0.335,,31.15,80.48,Lempung,37.76,0.982,Subur
715,6.81,0.472,52.96,0.463,2.56,30.13,79.28,,42.16,1.018,Subur
716,6.23,0.418,47.13,0.398,4.19,36.03,91.62,Lempung,38.41,1.137,Subur
717,8.96,0.171,8.62,0.174,,17.71,40.74,Debu,,1.569,Tidak Subur
718,6.65,0.475,15.98,0.334,,33.99,81.85,,34.13,0.912,Subur
719,6.74,,35.63,0.319,4.19,30.28,70.49,Lempung,25.23,1.02,Subur
720,4.84,0.176,9.6,0.213,1.81,5.05,46.6,Pasir,16.51,1.793,Tidak Subur
721,6.05,0.36,27.46,0.338,,37.74,82.75,Lempung Berpasir,41.95,1.12,Subur
722,8.38,,11.69,0.234,0.91,12.71,50.08,Liat,71.58,1.658,Tidak Subur
723,6.53,0.395,29.13,0.732,2.54,37.03,70.73,,31.17,1.03,Subur
724,7.98,0.074,,0.192,1.27,7.61,15.71,,63.22,1.76,Tidak Subur
725,4.84,0.078,1.11,0.263,1.69,15.6,21.88,Debu,15.42,1.89,Tidak Subur
726,6.43,0.447,29.2,0.525,4.09,38.69,65.21,Lempung,41.21,1.135,Subur
727,6.26,0.383,40.44,0.509,2.81,33.31,74.24,Lempung,37.84,1.113,Subur
728,6.41,0.227,26.94,0.679,3.03,30.28,92.48,Lempung,34.25,1.182,Subur
729,6.1,0.298,,0.768,2.61,39.89,93.1,Lempung,29.4,1.114,Subur
730,6.54,0.428,20.93,,2.21,21.81,97.14,,30.92,0.937,Subur
731,7.07,0.411,47.7,0.415,3.91,29.84,90.91,Lempung,32.59,0.907,Subur
732,7.38,0.216,22.32,0.607,3.54,27.04,91.82,Lempung,31.93,1.133,Subur
733,6.83,0.263,51.95,0.702,2.07,22.06,98.03,Lempung,27.52,1.127,Subur
734,7.06,0.312,50.75,0.453,4.16,28.52,69.61,Lempung Berpasir,28.41,1.15,Subur
735,4.84,0.016,,0.072,,17.65,26.56,Liat,5.7,1.67,Tidak Subur
736,6.8,0.49,38.46,0.606,2.75,27.37,82.85,Lempung Berliat,,1.134,Subur
737,7.78,0.139,6.04,0.282,0.44,16.12,12.36,Pasir,57.7,1.574,Tidak Subur
738,3.76,0.132,6.64,0.28,1.27,12.72,41.64,Pasir,18.71,1.739,Tidak Subur
739,6.71,0.344,18.2,0.589,2.15,43.71,85.81,Lempung,36.09,1.062,Subur
740,6.38,0.341,32.44,0.614,3.53,22.28,87.98,Lempung Berpasir,38.74,1.016,Subur
741,6.75,0.401,31.1,0.633,,42.48,79.49,,43.42,1.022,Subur
742,4.09,0.023,10.36,0.173,0.61,5.95,30.34,Pasir,9.31,1.698,Tidak Subur
743,6.58,0.475,,0.698,2.18,35.08,62.6,Lempung Berpasir,41.25,1.056,Subur
744,6.1,0.465,55.91,,4.24,26,70.33,Lempung,27.11,1.126,Subur
745,6.82,0.462,39.46,0.499,4.55,28.36,92.59,,42.4,1.186,Subur
746,6.34,0.463,36.4,,4.85,41.12,97.36,Lempung Berpasir,30.9,1.054,Subur
747,6.36,0.428,25.79,0.625,2.04,27.52,61.3,Lempung Berliat,28.63,0.938,Subur
748,6.19,0.469,51.31,0.472,2.7,26.43,85.44,Lempung,36.12,0.953,Subur
749,4.02,0.063,13.9,0.281,0.5,5.24,45.99,,9.72,1.864,Tidak Subur
750,4.49,0.053,5.1,0.051,1,13.92,48.15,Liat,18.36,1.411,Tidak Subur
751,3.8,0.177,,0.138,0.31,16.83,31.09,Pasir,19.79,1.685,Tidak Subur
752,4.08,0.125,2.7,0.183,,11.08,21.09,Liat,19.85,1.833,Tidak Subur
753,8.38,,7.37,0.094,1.69,11,17.13,,73.3,1.608,Tidak Subur
754,7.05,0.361,52.24,,3.8,32.97,68.05,Lempung Berpasir,33.49,1.055,Subur
755,8.71,0.092,,0.24,,6.91,49.37,Pasir,72.68,1.563,Tidak Subur
756,6.21,0.367,38.07,0.643,2.92,42.83,72.75,Lempung Berpasir,26.9,,Subur
757,3.5,0.083,13.78,0.185,0.53,11.24,17.43,Debu,7.08,1.604,Tidak Subur
758,8.51,0.106,11.88,0.188,1.51,16.72,41.06,Pasir,,1.609,Tidak Subur
759,6.9,,52.24,0.312,3.19,23.67,90.11,Lempung Berliat,30.49,1.054,Subur
760,4.41,0.124,6.46,0.097,0.42,5.3,31.06,Liat,5.83,1.403,Tidak Subur
761,7.84,0.037,9.2,0.058,1.04,11.09,56.57,Pasir,59.4,1.799,Tidak Subur
762,6.08,0.443,15.4,0.784,3.72,30.88,74.61,Lempung Berpasir,38.6,1.197,Subur
763,6.95,0.31,45.54,0.435,4.4,20.35,70.95,Lempung,41.22,1.126,Subur
764,5.35,0.165,6.87,0.094,1.3,8.52,42.94,Liat,5.2,1.654,Tidak Subur
765,8.04,0.194,1.05,0.116,1.06,12.78,39.79,Pasir,67.73,1.661,Tidak Subur
766,5.04,0.014,4.61,0.273,1.31,17.18,47.12,Liat,7.22,1.474,Tidak Subur
767,7.95,0.084,11.6,0.234,0.55,18.07,44.14,Pasir,68.7,1.675,Tidak Subur
768,4.94,0.114,8.99,0.229,0.92,7.21,22.49,Liat,7.31,1.691,Tidak Subur
769,6.42,0.304,17.44,0.585,4.35,27.89,83.86,Lempung,39.28,1.132,Subur
770,4.21,0.057,13.87,0.066,,16.87,48.79,Pasir,8.96,1.883,Tidak Subur
771,6.56,0.455,59.79,0.648,3.36,42.75,89.62,Lempung Berpasir,33.23,1.111,Subur
772,3.98,0.069,3.45,0.256,1.18,5.46,26.89,Pasir,16.52,1.655,Tidak Subur
773,4.93,0.074,13.7,0.185,0.75,13.65,19.96,Debu,15.01,1.494,Tidak Subur
774,4.33,0.045,5.54,0.056,1.09,6.15,18.78,Pasir,13.64,1.437,Tidak Subur
775,6.04,0.369,37.21,0.654,2.37,43.17,86.83,Lempung,25.58,1.112,Subur
776,7.05,0.219,32.53,0.495,2.84,38.49,82.49,Lempung Berliat,,0.989,Subur
777,7.78,0.141,12.53,0.281,0.21,5.57,55.83,,57.28,1.859,Tidak Subur
778,4.43,0.169,12.86,0.128,0.7,18.67,44.64,Debu,6.56,1.438,Tidak Subur
779,7.19,,20.12,0.485,4.49,42.19,81.04,Lempung Berpasir,33.37,0.949,Subur
780,6.21,0.342,42.13,0.59,4.03,35.18,88.86,Lempung,28.98,,Subur
781,6.53,,36.25,0.555,3.53,24.6,82.89,Lempung,,1.068,Subur
782,6.15,0.492,44.35,0.409,2.61,29.61,86.56,Lempung Berpasir,28.13,1.134,Subur
783,6.59,0.404,25.46,0.587,2.77,37.42,87.88,Lempung Berliat,43.38,1.086,Subur
784,6.9,0.454,58.66,0.513,2.12,34.39,61.55,Lempung Berpasir,31.66,,Subur
785,6.17,0.309,24.57,0.445,4.02,40.74,68.4,Lempung,28.06,1.022,Subur
786,5.32,0.154,9.23,0.135,1.32,6.91,52.02,Debu,10.39,1.765,Tidak Subur
787,6.31,0.227,55.13,,4.29,42.78,76.25,Lempung Berpasir,28.6,0.921,Subur
788,6.08,0.391,15.41,0.71,4.66,43.22,94.38,Lempung Berliat,36.54,1.009,Subur
789,3.54,0.049,13.24,0.067,1.03,8.97,55.66,Pasir,8.38,1.671,Tidak Subur
790,6.26,0.383,47.14,0.787,3.21,39.75,77.87,Lempung Berpasir,25.11,1.016,Subur
791,4.35,0.059,6.65,0.103,1.12,14.61,22.63,Pasir,,1.669,Tidak Subur
792,8.8,0.012,12.1,0.081,0.58,13.07,54.41,Debu,73.83,1.895,Tidak Subur
793,7.34,0.39,51.76,0.692,3.79,24.37,68.41,,37.3,1.081,Subur
794,4.08,0.019,13.45,0.181,1.78,5.39,52.9,Pasir,18.03,1.634,Tidak Subur
795,7.15,0.259,,0.624,2.43,31.69,74.01,Lempung,37.35,1.163,Subur
796,7.08,0.263,47.72,0.453,4.9,42.69,93.7,Lempung,36.84,1.115,Subur
797,6.97,0.399,54.61,0.378,3.56,26.04,87.44,Lempung,,0.906,Subur
798,3.74,,5.48,0.179,0.34,8.2,28.91,Pasir,7.56,1.899,Tidak Subur
799,4.95,0.124,,0.232,0.74,9.57,38.19,Liat,9.15,1.661,Tidak Subur
800,6.03,0.359,50.5,0.394,,28.55,93.1,Lempung,29.54,1.023,Subur
801,7.04,0.231,59.15,0.386,2.37,44.11,63.92,Lempung,27.53,1.024,Subur
802,5.36,0.156,13.73,0.098,0.69,7.61,36.57,Liat,7.07,1.699,Tidak Subur
803,6.37,0.26,29.25,0.517,3.99,22.67,67.14,Lempung,37.09,0.987,Subur
804,7.23,0.235,43.56,0.636,,33.66,80.39,Lempung,27.54,1.025,Subur
805,8.1,0.011,13.22,0.152,1.31,5.11,25.54,Liat,56.2,1.839,Tidak Subur
806,6.87,0.479,49.25,0.767,2.12,35.11,66.38,Lempung,43.4,1.119,Subur
807,6.96,0.463,20.43,0.338,3.82,30.14,98.74,Lempung Berpasir,31.35,,Subur
808,8.9,0.071,2.06,,0.63,12.65,18.92,Liat,64.89,1.703,Tidak Subur
809,6.26,0.396,15.66,0.686,4.83,42.87,94.58,Lempung Berpasir,28.52,0.994,Subur
810,6.19,,45,0.413,2.04,40.52,60.51,Lempung,41.91,0.976,Subur
811,8.27,0.041,10.47,0.276,1.09,16.48,55.59,Liat,58.53,1.822,Tidak Subur
812,6.24,0.499,55.98,0.605,2.17,24.52,62.05,Lempung Berpasir,28.15,1.075,Subur
813,3.95,0.089,5.37,,0.57,12.74,29.36,Debu,12.63,1.807,Tidak Subur
814,7.44,0.449,51.86,0.486,,34.39,78.65,Lempung Berliat,27.41,,Subur
815,8.64,0.04,13.77,0.24,,14.81,18.11,Liat,62.16,1.782,Tidak Subur
816,5.13,0.087,2.95,0.136,0.98,6.07,28.79,Pasir,13.16,1.642,Tidak Subur
817,8.09,0.101,7.25,0.19,,17.32,18.22,Liat,72.8,1.501,Tidak Subur
818,8.87,,8.73,0.179,0.78,7.34,15.18,Liat,58.2,1.788,Tidak Subur
819,4.39,0.182,12.57,0.061,0.74,7.46,54.57,Liat,6.61,1.536,Tidak Subur
820,4.54,,12.33,0.263,1.27,16.32,18.46,Debu,11.87,1.705,Tidak Subur
821,8.41,0.108,2.31,0.111,0.95,14.52,10.6,Pasir,56.71,1.558,Tidak Subur
822,6.89,0.228,38.31,0.658,3.37,44.21,69.28,Lempung,30.79,,Subur
823,7.78,0.045,13.42,0.233,1.35,16.35,44.59,,,1.43,Tidak Subur
824,7.25,0.442,49.7,0.639,,32.31,97.2,Lempung Berliat,44.61,,Subur
825,6.1,0.421,22.88,0.717,,34.67,85.36,Lempung,,0.946,Subur
826,6.03,0.274,16.51,0.574,2.1,24.14,92.15,Lempung,41.79,0.986,Subur
827,8.84,0.06,10.39,0.202,0.53,8.99,48.35,Pasir,64.29,1.759,Tidak Subur
828,5.09,0.138,8.72,0.236,0.27,5.97,39.34,,10.61,1.622,Tidak Subur
829,6.56,,,0.727,2.63,24.48,90.49,Lempung,42.47,1.116,Subur
830,7.48,0.401,26.13,0.646,2.51,24.16,90.96,Lempung,29.06,0.934,Subur
831,4.57,0.042,5.21,0.061,,10.51,45.86,Liat,12.02,1.722,Tidak Subur
832,6.06,0.248,27.63,0.739,2.24,24.61,75.58,Lempung,38.86,1.065,Subur
833,6.21,,56.29,0.436,4.58,42.75,60.06,Lempung,44.16,0.966,Subur
834,6.69,0.268,19.02,0.3,2.99,30.95,92.31,Lempung Berliat,30.54,1.079,Subur
835,7.24,0.415,,0.497,3.09,41.98,61.88,Lempung,43.59,1.098,Subur
836,6.68,0.4,27.71,,4.42,32.95,96.36,Lempung,41.34,1.056,Subur
837,6.77,0.285,34.24,0.719,2,41.3,71.39,,29.67,1.185,Subur
838,3.62,0.115,9.85,,1.69,15,23.83,Liat,18.73,1.586,Tidak Subur
839,6.42,0.274,28.92,0.592,3.44,44.97,74.38,Lempung Berpasir,33.82,1.029,Subur
840,3.92,0.191,4.55,0.096,1.83,8.16,23.79,Pasir,19.57,1.418,Tidak Subur
841,7.44,0.388,57.79,0.504,2.13,20.42,63.42,Lempung,42.53,1.113,Subur
842,6.58,0.321,59.03,0.592,4.25,39.3,85.68,Lempung,25.23,1.065,Subur
843,7.72,0.16,7.78,0.224,1.44,12.89,28.56,Debu,69.92,1.787,Tidak Subur
844,6.84,0.482,,0.477,3.91,31.07,72.13,Lempung Berliat,38.9,0.902,Subur
845,6.73,0.211,47.07,0.5,4.21,44.15,61.94,Lempung Berpasir,25.76,1.161,Subur
846,6.92,0.23,38.36,0.315,,27.74,89.64,,37.12,1.066,Subur
847,6.36,0.274,28.71,,4.46,35.21,92.13,Lempung Berpasir,35.13,0.999,Subur
848,8.94,0.066,9.84,0.289,1.72,6.39,29.03,Pasir,64.46,1.446,Tidak Subur
849,4.79,0.067,6.34,0.128,1.61,16.65,48.55,Pasir,9.52,1.898,Tidak Subur
850,6.36,0.463,35.27,0.712,4.87,31.85,65.44,Lempung,33.05,1.098,Subur
851,4.5,0.042,2.61,0.247,0.89,8.31,31.29,Liat,11.2,1.459,Tidak Subur
852,6.37,,47.33,0.469,4.19,36.65,66.29,Lempung Berpasir,41.36,0.91,Subur
853,7,,48.94,0.316,4.86,23.61,66.68,Lempung,42.07,,Subur
854,6.16,0.479,47.09,0.347,2.41,24.61,85.57,Lempung Berpasir,30.78,,Subur
855,6.56,0.398,15.86,0.343,3.56,40.2,93.81,Lempung,44.12,1.041,Subur
856,3.7,0.011,4.48,0.113,,17.1,31.75,Debu,10.62,1.585,Tidak Subur
857,8.81,0.018,10.75,0.213,,5.85,15.45,Pasir,62.28,1.755,Tidak Subur
858,6.26,0.233,37.35,0.576,2.7,37.06,70.08,Lempung,,1.003,Subur
859,6.52,,35.12,0.553,2.56,39.95,66.23,Lempung Berpasir,31.33,0.928,Subur
860,8.59,0.148,4.25,0.117,,10.49,34.42,Pasir,69.87,1.409,Tidak Subur
861,7.42,0.421,30.89,0.335,4.44,34.71,98.32,Lempung,32,0.952,Subur
862,6.48,0.27,45.97,0.506,,37.19,61.91,Lempung,33.97,0.947,Subur
863,6.78,0.274,40.99,0.789,2.04,41.1,62.09,Lempung Berliat,26.66,0.987,Subur
864,4.21,0.111,9.51,0.284,0.32,12,10.22,Debu,14.69,1.593,Tidak Subur
865,8.2,0.17,13.77,0.273,1,16.82,28.08,Liat,70.4,1.4,Tidak Subur
866,7.01,,,0.768,3.62,24.6,89.73,Lempung Berpasir,39.24,1.18,Subur
867,7.13,0.481,32.46,0.307,2.53,28.02,80.2,Lempung Berpasir,28,1.055,Subur
868,7.69,0.081,,0.282,1.8,12.96,50.58,Pasir,63.55,1.643,Tidak Subur
869,6.83,0.431,50.57,0.568,3.07,37.33,64.68,Lempung,38,1.164,Subur
